Location,Exc_deaths_2017,Exc_deaths_2018,Exc_deaths_2019,Exc_deaths_2020,Exc_deaths_2021,Exc_deaths_2022
Alabama,2649,4062,945,20726,29283,14805
Alaska,417,492,639,1422,3483,1783
Arizona,3522,4281,1785,30955,40347,20653
Arkansas,3054,2199,1434,11285,15391,8969
California,17241,13434,1029,93875,133206,89195
Colorado,1509,732,813,14544,16622,13179
Connecticut,2973,1599,1428,12579,5581,5712
Delaware,1062,1263,258,3090,3433,2661
District of Columbia,1176,618,276,2664,1759,784
Florida,8355,7782,594,59091,101421,44607
Georgia,1920,4950,1095,34944,54047,31128
Hawaii,1239,1038,1032,1011,2323,2781
Idaho,1377,1017,759,4173,7668,4608
Illinois,6921,5814,807,46827,29262,28831
Indiana,5727,3183,777,23626,23137,14515
Iowa,2907,1899,1662,10192,6274,5353
Kansas,2109,1428,975,8947,7999,7332
Kentucky,2790,1716,783,13714,22053,13818
Louisiana,3459,4914,2127,22368,23153,10601
Maine,1017,561,639,1769,4347,3875
Maryland,3399,2790,849,17226,10650,5987
Massachusetts,3909,2421,756,18853,8186,9989
Michigan,4251,4335,2025,37989,33854,19193
Minnesota,2673,2577,1680,12675,10065,7544
Mississippi,1236,2238,1809,16039,18507,10467
Missouri,5193,5424,1161,22531,20036,13811
Montana,1050,501,900,3689,5394,2864
Nebraska,1701,1392,756,5520,3752,3298
Nevada,2805,1014,516,8988,13442,7256
New Hampshire,1011,879,453,2019,2104,2948
New Jersey,7344,6069,1227,43504,15279,12623
New Mexico,1473,1431,1182,8745,11169,6630
New York,4704,5727,1731,39043,29370,20644
New York City,2001,4311,2181,61075,16640,13033
North Carolina,4542,3357,1641,25087,41485,28192
North Dakota,1161,822,1341,3384,1605,975
Ohio,12048,6849,405,36581,41610,22534
Oklahoma,2187,3693,1587,13180,18822,13561
Oregon,2709,690,1848,6982,16349,15310
Pennsylvania,9300,3981,357,39980,40867,25054
Puerto Rico,7248,2151,1509,6517,7594,11536
Rhode Island,1068,942,945,3531,2168,1185
South Carolina,1383,2967,888,20713,26110,15145
South Dakota,1155,660,774,3787,1823,1389
Tennessee,4128,4860,1743,24589,35606,17921
Texas,6144,12420,3918,94249,125095,66605
United States,109221,100140,1188,1010998,1156008,759953
Utah,558,825,570,5590,7621,4665
Vermont,603,630,339,1450,2849,2600
Virginia,4596,3210,1557,18407,28208,20165
Washington,4806,2343,1986,8950,20152,18940
West Virginia,2286,2361,1185,5918,11891,7412
Wisconsin,2316,3663,2010,17291,12577,9800
Wyoming,291,936,807,2349,2735,1262
