,State,Exc_deaths_2017,Exc_deaths_2018,Exc_deaths_2019,Exc_deaths_2020,Exc_deaths_2021,Exc_deaths_2022,Exc_count_2017,Exc_count_2018,Exc_count_2019,Exc_count_2020,Exc_count_2021,Exc_count_2022
0,Alabama,2649,4062,945,20726,29283,14805,3,15,0,99,106,87
1,Alaska,417,492,639,1422,3483,1783,6,6,3,34,75,42
2,Arizona,3522,4281,1785,30955,40347,20653,9,15,0,89,114,77
3,Arkansas,3054,2199,1434,11285,15391,8969,12,12,0,66,93,64
4,California,17241,13434,1029,93875,133206,89195,18,12,0,94,104,106
5,Colorado,1509,732,813,14544,16622,13179,0,0,0,84,96,100
6,Connecticut,2973,1599,1428,12579,5581,5712,9,3,6,48,46,42
7,Delaware,1062,1263,258,3090,3433,2661,18,21,0,35,55,36
8,District of Columbia,1176,618,276,2664,1759,784,24,6,3,41,30,10
9,Florida,8355,7782,594,59091,101421,44607,6,21,0,83,108,83
10,Georgia,1920,4950,1095,34944,54047,31128,3,21,0,105,133,113
11,Hawaii,1239,1038,1032,1011,2323,2781,18,12,3,7,30,44
12,Idaho,1377,1017,759,4173,7668,4608,12,9,3,51,81,75
13,Illinois,6921,5814,807,46827,29262,28831,18,15,0,96,100,89
14,Indiana,5727,3183,777,23626,23137,14515,27,15,0,80,77,63
15,Iowa,2907,1899,1662,10192,6274,5353,24,6,3,62,48,42
16,Kansas,2109,1428,975,8947,7999,7332,9,12,3,52,57,47
17,Kentucky,2790,1716,783,13714,22053,13818,12,9,0,64,101,70
18,Louisiana,3459,4914,2127,22368,23153,10601,9,18,6,99,108,51
19,Maine,1017,561,639,1769,4347,3875,6,0,0,17,66,53
20,Maryland,3399,2790,849,17226,10650,5987,15,9,0,80,53,15
21,Massachusetts,3909,2421,756,18853,8186,9989,6,6,0,32,39,42
22,Michigan,4251,4335,2025,37989,33854,19193,9,9,0,90,82,60
23,Minnesota,2673,2577,1680,12675,10065,7544,15,9,3,55,50,39
24,Mississippi,1236,2238,1809,16039,18507,10467,9,15,6,96,109,81
25,Missouri,5193,5424,1161,22531,20036,13811,18,18,0,70,75,49
26,Montana,1050,501,900,3689,5394,2864,3,0,9,43,73,55
27,Nebraska,1701,1392,756,5520,3752,3298,12,6,3,51,53,32
28,Nevada,2805,1014,516,8988,13442,7256,21,9,3,62,81,47
29,New Hampshire,1011,879,453,2019,2104,2948,12,3,0,27,30,44
30,New Jersey,7344,6069,1227,43504,15279,12623,21,12,0,46,62,32
31,New Mexico,1473,1431,1182,8745,11169,6630,6,6,9,74,111,61
32,New York,4704,5727,1731,39043,29370,20644,9,12,0,48,72,57
33,New York City,2001,4311,2181,61075,16640,13033,0,9,0,43,68,49
34,North Carolina,4542,3357,1641,25087,41485,28192,9,9,0,79,103,93
35,North Dakota,1161,822,1341,3384,1605,975,12,12,21,46,28,12
36,Ohio,12048,6849,405,36581,41610,22534,39,15,0,75,68,40
37,Oklahoma,2187,3693,1587,13180,18822,13561,6,18,3,64,85,82
38,Oregon,2709,690,1848,6982,16349,15310,12,3,0,45,104,109
39,Pennsylvania,9300,3981,357,39980,40867,25054,18,9,0,66,65,45
40,Puerto Rico,7248,2151,1509,6517,7594,11536,42,12,3,40,58,92
41,Rhode Island,1068,942,945,3531,2168,1185,9,3,0,36,32,17
42,South Carolina,1383,2967,888,20713,26110,15145,3,15,0,95,108,81
43,South Dakota,1155,660,774,3787,1823,1389,3,9,0,36,30,20
44,Tennessee,4128,4860,1743,24589,35606,17921,12,15,0,81,99,70
45,Texas,6144,12420,3918,94249,125095,66605,9,21,0,98,128,106
46,United States,109221,100140,1188,1010998,1156008,759953,15,18,0,101,124,109
47,Utah,558,825,570,5590,7621,4665,3,0,0,57,82,54
48,Vermont,603,630,339,1450,2849,2600,6,6,3,29,66,61
49,Virginia,4596,3210,1557,18407,28208,20165,9,12,0,87,106,91
50,Washington,4806,2343,1986,8950,20152,18940,21,9,3,56,95,91
51,West Virginia,2286,2361,1185,5918,11891,7412,15,9,0,56,88,69
52,Wisconsin,2316,3663,2010,17291,12577,9800,0,18,0,71,56,48
53,Wyoming,291,936,807,2349,2735,1262,0,15,15,55,62,26
