States,Life_Exp_2020,Life_Exp_2019,Life_Exp_2018
Alabama,73.2,75.2,75.1
Alaska,76.6,77.7,78.0
Arizona,76.3,78.8,78.7
Arkansas,73.8,75.7,75.6
California,79.0,80.9,80.8
Colorado,78.3,80.0,80.0
Connecticut,78.4,80.3,80.4
Delaware,76.7,78.1,77.8
District of Columbia,,,
Florida,77.5,79.0,78.9
Georgia,75.6,77.4,77.2
Hawaii,80.7,80.9,81.0
Idaho,78.4,79.5,79.0
Illinois,76.8,79.0,78.8
Indiana,75.0,77.0,76.8
Iowa,77.5,79.0,79.2
Kansas,76.4,78.2,78.0
Kentucky,73.5,75.5,75.3
Louisiana,73.1,75.7,75.6
Maine,77.8,78.3,78.6
Maryland,76.8,78.5,78.5
Massachusetts,79.0,80.4,80.1
Michigan,76.0,78.0,77.7
Minnesota,79.1,80.4,80.5
Mississippi,71.9,74.4,74.6
Missouri,75.1,76.9,76.6
Montana,76.8,78.4,78.7
Nebraska,77.7,79.2,79.1
Nevada,76.3,78.0,77.9
New Hampshire,79.0,79.4,79.1
New Jersey,77.5,80.1,79.8
New Mexico,74.5,76.9,77.2
New York,77.7,80.7,80.5
North Carolina,76.1,77.6,77.6
North Dakota,76.9,78.8,79.3
Ohio,75.3,76.9,76.8
Oklahoma,74.1,75.7,75.6
Oregon,78.8,79.6,79.7
Pennsylvania,76.8,78.3,78.1
Rhode Island,78.2,79.5,79.8
South Carolina,74.8,76.8,76.5
South Dakota,76.7,78.4,78.9
Tennessee,73.8,75.6,75.5
Texas,76.5,78.6,78.4
Utah,78.6,79.7,79.6
Vermont,78.8,79.8,79.3
Virginia,77.6,79.1,79.0
Washington,79.2,80.0,80.0
West Virginia,72.8,74.5,74.4
Wisconsin,77.7,79.3,79.3
Wyoming,76.3,77.7,78.1
