States,Inc_Per_Cap_2020,Inc_Per_Cap_2021,Inc_Per_CAp_2022
Alabama,45887,50059,50916
Alaska,61898,65662,68635
Arizona,52133,56420,58442
Arkansas,47147,51636,52618
California,70061,76991,77036
Colorado,64852,71923,75722
Connecticut,77383,80691,82938
Delaware,55778,58889,63243
District of Columbia,89703,97498,95970
Florida,56561,63078,64806
Georgia,51469,56184,56589
Hawaii,57036,61464,61779
Idaho,49691,54148,56614
Illinois,61587,67278,67655
Indiana,51719,56934,58323
Iowa,52586,58049,60222
Kansas,55041,58569,60424
Kentucky,47026,51561,51921
Louisiana,50243,54531,54501
Maine,54301,58687,60599
Maryland,64825,69052,70228
Massachusetts,77393,83461,84561
Michigan,52786,56601,57038
Minnesota,61278,66846,68840
Mississippi,42513,46577,46370
Missouri,52095,56073,57818
Montana,53546,58344,60984
Nebraska,56733,62682,64268
Nevada,54650,61024,62085
New Hampshire,67883,72214,73910
New Jersey,70957,76079,77199
New Mexico,46631,51141,52194
New York,69873,75948,75407
North Carolina,51781,56705,58109
North Dakota,61091,65895,70360
Ohio,52879,57026,57777
Oklahoma,50249,55165,56298
Oregon,56507,61646,62303
Pennsylvania,60320,64042,64506
Rhode Island,59066,63663,63557
South Carolina,48772,52828,53618
South Dakota,59465,65421,68176
Tennessee,51928,56970,58292
Texas,55118,60548,62586
Utah,51751,57042,59457
Vermont,57978,61214,63039
Virginia,61474,66838,68985
Washington,67674,74188,75332
West Virginia,45071,49071,49993
Wisconsin,55431,60381,61475
Wyoming,65558,70522,73248
