,2010 Population,2020 Population,Location
0,4779736,5024279,Alabama
1,710231,733391,Alaska
2,6392017,7151502,Arizona
3,2915918,3011524,Arkansas
4,37253956,39538223,California
5,5029196,5773714,Colorado
6,3574097,3605944,Connecticut
7,897934,989948,Delaware
8,601723,689545,District of Columbia
9,18801310,21538187,Florida
10,9687653,10711908,Georgia
11,1360301,1455271,Hawaii
12,1567582,1839106,Idaho
13,12830632,12812508,Illinois
14,6483802,6785528,Indiana
15,3046355,3190369,Iowa
16,2853118,2937880,Kansas
17,4339367,4505836,Kentucky
18,4533372,4657757,Louisiana
19,1328361,1362359,Maine
20,5773552,6177224,Maryland
21,6547629,7029917,Massachusetts
22,9883640,10077331,Michigan
23,5303925,5706494,Minnesota
24,2967297,2961279,Mississippi
25,5988927,6154913,Missouri
26,989415,1084225,Montana
27,1826341,1961504,Nebraska
28,2700551,3104614,Nevada
29,1316470,1377529,New Hampshire
30,8791894,9288994,New Jersey
31,2059179,2117522,New Mexico
32,19378102,20201249,New York
33,9535483,10439388,North Carolina
34,672591,779094,North Dakota
35,11536504,11799448,Ohio
36,3751351,3959353,Oklahoma
37,3831074,4237256,Oregon
38,12702379,13002700,Pennsylvania
39,3725789,3285874,Puerto Rico
40,1052567,1097379,Rhode Island
41,4625364,5118425,South Carolina
42,814180,886667,South Dakota
43,6346105,6910840,Tennessee
44,25145561,29145505,Texas
45,2763885,3271616,Utah
46,625741,643077,Vermont
47,8001024,8631393,Virginia
48,6724540,7705281,Washington
49,1852994,1793716,West Virginia
50,5686986,5893718,Wisconsin
51,563626,576851,Wyoming
